mainshock_id,dimension,score,key_metrics,caveat
M1,aftershock_response,moderate,post_pre_ratio=3.174; m4_post_pre_ratio=2.619; nearfield_post_fraction=0.790; post_fraction_within_24h=0.383,Catalog-only post/pre changes can be inflated by overlap with neighboring sequences or changing detectability.
M1,single_mainshock_dominance,low,dominance_gap=0.300; companion_within_0p5mag=2; companion_within_1p0mag=6,Dominance gap depends on the selected time-radius window and does not alone resolve compound rupture versus swarm-like organization.
M1,compact_cascade_compound_structure,moderate,dominance_gap=0.300; companion_within_0p5mag=2; companion_within_1p0mag=6; largest_post_mag=6.600,Comparable-magnitude companions may reflect neighboring regional activation rather than one compact compound source.
M1,swarm_like_organization,moderate,dominance_gap=0.300; m4_total=76; m5_total=28; companion_within_1p0mag=6,Swarm-like here means catalog-level organization only; it does not confirm a physical swarm process.
M1,foreshock_pre_mainshock_activation,strong,m4_pre_count=21; m5_pre_count=8; largest_pre_mag=6.900; largest_pre_time_days=-0.000; largest_pre_distance_km=0.166,Pre-mainshock activity may overlap another mainshock-centered frame or reflect broader regional activation.
M1,broader_regional_activation,low,outerband_post_fraction=0.210; outerband_pre_fraction=0.107; m4_outerband_post_fraction=0.127,"Outer-band concentration alone is not evidence for migration, swarm, or remote triggering style."
M1,radial_migration_expansion,low,distance_time_spearman=0.158; distance_time_slope_km_per_day=0.894; monotonic_progression_supported=False,Scattered distance-time clouds can produce weak trends; monotonic ordering should be checked independently.
M1,slow_slip_related_candidate,low,distance_time_spearman=0.158; outerband_post_fraction=0.210; depth_median_shift_km=-0.390; matched_mechanism_count=354,Catalog evidence is only screening-level and cannot establish slow slip without geodetic or tremor confirmation.
M2,aftershock_response,moderate,post_pre_ratio=86.625; m4_post_pre_ratio=NA; nearfield_post_fraction=0.180; post_fraction_within_24h=0.266,Catalog-only post/pre changes can be inflated by overlap with neighboring sequences or changing detectability.
M2,single_mainshock_dominance,possible,dominance_gap=0.600; companion_within_0p5mag=0; companion_within_1p0mag=2,Dominance gap depends on the selected time-radius window and does not alone resolve compound rupture versus swarm-like organization.
M2,compact_cascade_compound_structure,low,dominance_gap=0.600; companion_within_0p5mag=0; companion_within_1p0mag=2; largest_post_mag=6.900,Comparable-magnitude companions may reflect neighboring regional activation rather than one compact compound source.
M2,swarm_like_organization,possible,dominance_gap=0.600; m4_total=45; m5_total=9; companion_within_1p0mag=2,Swarm-like here means catalog-level organization only; it does not confirm a physical swarm process.
M2,foreshock_pre_mainshock_activation,low,m4_pre_count=0; m5_pre_count=0; largest_pre_mag=3.300; largest_pre_time_days=-1.196; largest_pre_distance_km=69.748,Pre-mainshock activity may overlap another mainshock-centered frame or reflect broader regional activation.
M2,broader_regional_activation,strong,outerband_post_fraction=0.820; outerband_pre_fraction=0.875; m4_outerband_post_fraction=0.911,"Outer-band concentration alone is not evidence for migration, swarm, or remote triggering style."
M2,radial_migration_expansion,low,distance_time_spearman=0.071; distance_time_slope_km_per_day=1.824; monotonic_progression_supported=False,Scattered distance-time clouds can produce weak trends; monotonic ordering should be checked independently.
M2,slow_slip_related_candidate,low,distance_time_spearman=0.071; outerband_post_fraction=0.820; depth_median_shift_km=-3.245; matched_mechanism_count=354,Catalog evidence is only screening-level and cannot establish slow slip without geodetic or tremor confirmation.
M3,aftershock_response,moderate,post_pre_ratio=14.649; m4_post_pre_ratio=43.000; nearfield_post_fraction=0.537; post_fraction_within_24h=0.295,Catalog-only post/pre changes can be inflated by overlap with neighboring sequences or changing detectability.
M3,single_mainshock_dominance,strong,dominance_gap=2.100; companion_within_0p5mag=0; companion_within_1p0mag=0,Dominance gap depends on the selected time-radius window and does not alone resolve compound rupture versus swarm-like organization.
M3,compact_cascade_compound_structure,low,dominance_gap=2.100; companion_within_0p5mag=0; companion_within_1p0mag=0; largest_post_mag=5.600,Comparable-magnitude companions may reflect neighboring regional activation rather than one compact compound source.
M3,swarm_like_organization,possible,dominance_gap=2.100; m4_total=44; m5_total=13; companion_within_1p0mag=0,Swarm-like here means catalog-level organization only; it does not confirm a physical swarm process.
M3,foreshock_pre_mainshock_activation,moderate,m4_pre_count=1; m5_pre_count=1; largest_pre_mag=7.700; largest_pre_time_days=-0.000; largest_pre_distance_km=0.158,Pre-mainshock activity may overlap another mainshock-centered frame or reflect broader regional activation.
M3,broader_regional_activation,moderate,outerband_post_fraction=0.463; outerband_pre_fraction=0.797; m4_outerband_post_fraction=0.395,"Outer-band concentration alone is not evidence for migration, swarm, or remote triggering style."
M3,radial_migration_expansion,low,distance_time_spearman=0.149; distance_time_slope_km_per_day=2.023; monotonic_progression_supported=False,Scattered distance-time clouds can produce weak trends; monotonic ordering should be checked independently.
M3,slow_slip_related_candidate,low,distance_time_spearman=0.149; outerband_post_fraction=0.463; depth_median_shift_km=1.815; matched_mechanism_count=354,Catalog evidence is only screening-level and cannot establish slow slip without geodetic or tremor confirmation.
